BLM,,
Color,Pantone Code,Hex Code
Dark Green,Pantone 157,EF9F53
Green,Pantone 577,AAC27E
Blue,Pantone 2915,5FB3E4
Beige,Pantone 465,BC945C
Red,Pantone 7523,AE5D57
Purple,Pantone 5145,9C7692
Gray Blue,Pantone 536,A2B1C9
Baby Blue,Pantone 543,A2C7E2
Teal,Pantone 570,69C6B9
Gray Green,Pantone 5575,8FAAA0
Yellow,Pantone 610,EID354
Mustard,Pantone 617,C0B560
NCL,,
Black,Black,0
White,White,FFFFFF
Lime Green,Pantone 367 C ,A2CF5F
Taupe,Pantone 404 C ,756F64
Orange,Pantone 7578 C ,DF6B2A
Tortilla,Pantone 7504 C ,95785E
Sky Blue,Pantone 306 C ,00B2E2
Moss,Pantone 7490 C,71984A
Sunrise,Pantone 141 C,F4C55C
Corn,Pantone 135 C,FEC558
Pecan,Pantone 7506 C,F2DAB2
Cinammon,Pantone 161 C,633D21
